,event_id,account_id,reg_date,cc_date_added,collector_tstamp,domain_userid,domain_sessionidx,domain_sessionid,event_name,geo_country,geo_region_name,geo_city,page_url,page_referrer,mkt_medium,mkt_source,se_category,se_action,br_name,os_name,os_timezone,dvce_ismobile
0,27a31250-a2a5-4bc7-81b6-b0f7469213f9,405860.0,2016-01-24 10:55:53,,2015-11-28 04:22:54,b6893175a258ac8c,3.0,a13aa269-5033-459e-8deb-8fd34dcfe186,page_ping,LK,Western,Colombo,http://www.company_x.com/inventory-management-software,,,,,,Chrome 46,Windows 10,Asia/Kolkata,False
1,cf4c2bee-b447-4cf0-a383-5082aae99200,405860.0,2016-01-24 10:55:53,,2015-11-28 04:22:26,b6893175a258ac8c,3.0,a13aa269-5033-459e-8deb-8fd34dcfe186,page_view,LK,Western,Colombo,http://www.company_x.com/inventory-management-software,,,,,,Chrome 46,Windows 10,Asia/Kolkata,False
2,3ddff9ab-5528-441e-9bc8-4b1a747651ff,405860.0,2016-01-24 10:55:53,,2015-11-27 06:27:31,b6893175a258ac8c,2.0,95dd6597-5b22-4ebe-b368-87d749f74d2f,page_view,LK,Western,Maharagama,http://www.company_x.com/inventory-management-software,,,,,,Chrome 46,Windows 10,Asia/Kolkata,False
3,f063b34d-7a56-4c3d-a7d8-37e965dde546,405860.0,2016-01-24 10:55:53,,2015-11-25 12:35:52,b6893175a258ac8c,1.0,0e843165-e55f-4da4-a608-2d566f60bdf4,page_view,LK,Western,Colombo,http://www.company_x.com/inventory-management-software,,,,,,Chrome 46,Windows 10,Asia/Kolkata,False
4,ae4ab526-1799-4832-8997-da150f3d25d3,404894.0,2016-01-23 03:23:31,,2015-11-28 06:49:33,f78e3ba8d85272e6,2.0,42869563-43b3-4ac0-98bb-ff38b3f6e8b3,page_ping,IN,Jammu and Kashmir,Gold,http://www.company_x.com/features/multichannel,http://www.company_x.com/,,,,,Chrome 46,Windows 7,Asia/Kolkata,False
5,98abb271-75e2-4a24-8ca5-d372c2e704fd,404894.0,2016-01-23 03:23:31,,2015-11-28 06:52:36,f78e3ba8d85272e6,2.0,42869563-43b3-4ac0-98bb-ff38b3f6e8b3,page_ping,IN,Jammu and Kashmir,Gold,http://www.company_x.com/features/multichannel,http://www.company_x.com/,,,,,Chrome 46,Windows 7,Asia/Kolkata,False
6,7332eeb7-592d-42e7-b5f4-c8ebee4e6455,404894.0,2016-01-23 03:23:31,,2015-11-28 06:49:03,f78e3ba8d85272e6,2.0,42869563-43b3-4ac0-98bb-ff38b3f6e8b3,page_ping,IN,Jammu and Kashmir,Gold,http://www.company_x.com/features/multichannel,http://www.company_x.com/,,,,,Chrome 46,Windows 7,Asia/Kolkata,False
7,4c124c8f-2219-448f-b2b0-1851c71b8252,404894.0,2016-01-23 03:23:31,,2015-11-28 06:47:33,f78e3ba8d85272e6,2.0,42869563-43b3-4ac0-98bb-ff38b3f6e8b3,page_view,IN,Jammu and Kashmir,Gold,http://www.company_x.com/features/multichannel,http://www.company_x.com/,,,,,Chrome 46,Windows 7,Asia/Kolkata,False
8,f9736e95-347b-4f6e-956e-3c424e7675ba,404894.0,2016-01-23 03:23:31,,2015-11-25 05:41:04,f78e3ba8d85272e6,1.0,2e6c9afc-c741-480a-919f-c662aa5be1a5,page_view,IN,Jammu and Kashmir,Gold,http://www.company_x.com/features/orders,http://www.company_x.com/,,,,,Chrome 46,Windows 7,Asia/Kolkata,False
9,0ef99736-e137-4663-99fc-866302568b0a,404894.0,2016-01-23 03:23:31,,2015-11-28 06:48:32,f78e3ba8d85272e6,2.0,42869563-43b3-4ac0-98bb-ff38b3f6e8b3,page_ping,IN,Jammu and Kashmir,Gold,http://www.company_x.com/features/multichannel,http://www.company_x.com/,,,,,Chrome 46,Windows 7,Asia/Kolkata,False
10,728b0b1b-96a1-48e6-be60-3434af454eb6,404894.0,2016-01-23 03:23:31,,2015-11-28 06:48:02,f78e3ba8d85272e6,2.0,42869563-43b3-4ac0-98bb-ff38b3f6e8b3,page_ping,IN,Jammu and Kashmir,Gold,http://www.company_x.com/features/multichannel,http://www.company_x.com/,,,,,Chrome 46,Windows 7,Asia/Kolkata,False
11,36fb37ee-5eaa-4b39-9bf4-722508784c79,404894.0,2016-01-23 03:23:31,,2015-11-25 05:47:05,f78e3ba8d85272e6,1.0,2e6c9afc-c741-480a-919f-c662aa5be1a5,page_ping,IN,Jammu and Kashmir,Gold,http://www.company_x.com/features/orders,http://www.company_x.com/,,,,,Chrome 46,Windows 7,Asia/Kolkata,False
12,f9b1babf-ac3a-4a55-84fa-60e0390d3cb5,412034.0,2016-01-29 13:50:48,,2015-11-29 22:55:06,44fd2032574f2fe6,1.0,5e16c548-f5eb-403a-a535-6b6699bcebdc,link_click,US,South Dakota,Brookings,http://www.company_x.com/features/inventory,http://www.company_x.com/,,,,,Safari,Mac OS X,America/Chicago,False
13,3bc15d66-f16f-4421-b024-97ee90651eff,412034.0,2016-01-29 13:50:48,,2015-11-29 22:54:52,44fd2032574f2fe6,1.0,5e16c548-f5eb-403a-a535-6b6699bcebdc,page_ping,US,South Dakota,Brookings,http://www.company_x.com/features/inventory,http://www.company_x.com/,,,,,Safari,Mac OS X,America/Chicago,False
14,f8e6833e-3ee0-4d20-b5ff-feae02b07067,412034.0,2016-01-29 13:50:48,,2015-11-29 22:54:23,44fd2032574f2fe6,1.0,5e16c548-f5eb-403a-a535-6b6699bcebdc,page_view,US,South Dakota,Brookings,http://www.company_x.com/features/inventory,http://www.company_x.com/,,,,,Safari,Mac OS X,America/Chicago,False
15,79cce063-0e71-4bb1-8266-7a5cf1e867f5,,,,2015-11-30 16:03:05,8b5183839d9ff188,1.0,4002d945-8dd4-47a8-b0be-0047674e8279,page_ping,SA,,,http://www.company_x.com/inventory-management-software,https://www.google.com.sa/,,,,,Chrome 46,Windows 8.1,Asia/Baghdad,False
